a,ひとつの 
able,能力のある 
about,～について 
above,上に 
across,～を横切って 
act,行動 
afraid,恐れて 
after,～の後に 
afternoon,午後 
again,再び 
against,～に対して 
age,年齢 
ago,～前に 
air,空気 
airplane,飛行機 
airport,空港 
album,アルバム 
all,全体の 
almost,ほとんど 
alone,ひとりで 
along,～をたどって 
already,もう 
also,～もまた 
always,いつも 
am,be動詞の一人称単数 
among,～の間に 
an,ひとつの 
and,～と～ 
angry,おこった 
animal,動物 
another,もう一つの 
answer,答え 
any,いくらかの 
anybody,だれか 
anyone,誰も 
anything,何か 
apartment,アパート 
apple,リンゴ 
April,4月 
are,～である 
arm,腕 
around,～の周りに 
arrive,着く 
art,芸術 
artist,芸術家 
as,同じくらい 
ask,事について質問する 
at,～で 
attack,～を襲う 
August,8月 
aunt,おば 
autumn,秋 
away,離れて 
baby,赤ん坊 
back,背 
bad,悪い 
bag,袋 
bake,食物を焼く 
baker,パン屋 
ball,舞踏会 
banana,バナナ 
bank,列 
baseball,野球 
basket,かご 
basketball,バスケットボール 
bat,バット 
bath,入浴 
bathroom,浴室 
be,ある 
beautiful,美しい 
because,～だから 
become,なる 
bed,ベット 
bedroom,寝室 
beef,牛肉 
been,beの過去分飼形 
before,～の前に 
begin,始まる 
beginning,初る 
behind,～の後ろに 
believe,事を信じる 
bell,鐘 
below,～の下方へ 
bench,ベンチ 
beside,～のそばに 
best,いちばんよい 
better,いっそうよい 
between,～の間に 
bicycle,自転車 
big,大きい 
bike,自転車 
bird,鳥 
birthday,誕生日 
black,黒い 
blackboard,黒板 
blow,強打 
blue,青い 
boat,小型の船 
body,身体 
book,本 
boot,長ぐつ 
born,bear他1の過去分詞 
both,両方の 
bottle,びん 
box,びんた 
boy,少年 
bread,パン 
break,～を壊す 
breakfast,朝食 
bridge,ブリッジ 
bring,物を持ってくる 
brother,兄弟 
brown,きつね色に焦がす 
build,物を組み立てる 
building,建物 
bus,バス 
business,職業 
busy,忙しい 
but,しかし 
butter,バター 
buy,～を買う 
by,～によって 
bye,バイ 
cafe,喫茶店 
cake,ケーハ 
calendar,暦 
call,～を呼ぶ 
camera,カメラ 
camp,女々しい 
can,canceled 
candy,砂糖菓子 
cap,帽子 
captain,長 
car,自動車電車 
card,カード 
careful,注意深い 
carry,～を運ぶ 
case,箱 
cat,男 
catch,～を捕らえる 
center,中心 
certain,碓信している 
chair,いす/ 権威のある座 
chalk,チョーク 
chance,偶然 
change,～を変える 
cheap,値段が安い 
cheese,チーズ 
chicken,ひよこ 
chief,長 
child,子供 
children,子供達 
chocolate,チョコレート 
choose,人・物を選択する 
Christmas,クリスマス 
church,教会 
circle,円 
city,都市 
class,種類 
classmate,級友 
classroom,クラスルーム 
clean,汚れのない 
clear,晴れた 
clever,リコウな 
climb,～をよじ登る 
clock,時計 
close,近い 
clothes,衣服 
cloud,雲 
cloudy,曇った 
club,こん棒 
coat,コート 
coffee,コーヒー飲料 
cold,寒い 
college,大学 
color,色 
come,相手が来る 
company,来客 
cook,料理人 
cookie,クッキー 
cool,涼しい 
corner,かど 
could,conの過去形 
count,数を数える 
country,国 
cover,～の表面をおおう 
cow,雌牛 
cry,泣く 
cup,茶わん 
cut,切る 
dad,お父さん 
daddy,おとうちゃん 
dance,踊る 
dangerous,危険な 
dark,暗いやみの 
date,日付 
daughter,娘 
day,昼間 
dead,死んだ 
dear,親愛な 
death,死 
December,12月 
decide,人が論争・問題などを解決する 
deep,深い 
delicious,おいしい 
department,部門 
desk,机 
diary,日記 
dictionary,辞書 
did,doの過去形 
die,人・動物が死ぬ 
different,異なった 
difficult,難しい 
dinner,主要な食事 
dirty,汚い 
discover,今まで知らなかった物・場所を発見する 
dish,大皿 
do,～をする 
doctor,博士 
does,doの三人称・単数・直説法現在形 
dog,犬 
doll,人形 
dollar,ドル 
door,扉 
down,下へ 
draw,～を引く 
dream,夢 
dress,～に服を着せる 
drink,飲み物を飲む 
drive,動物・敵などを追い立てる 
driver,追う人 
drop,しずく 
dry,乾いた 
during,～の間 
each,おのおのの 
ear,穂 
early,早い 
earth,地球 
east,東 
easy,容易な 
eat,～を食べる 
egg,人を扇動する 
eight,8
eighteen,18
eighty,80
either,どちらかの 
elephant,ゾウ 
eleven,11
else,そのほかに 
end,端 
enjoy,を楽しむ 
enough,不足のない 
enter,～に入る 
even,平らな 
evening,夕方 
ever,かつて 
every,すべての 
everybody,すべての人 
everyone,すべての人 
everything,なんでも 
everywhere,至る所 
excuse,人 
eye,目 
face,顔 
fact,事実 
factory,海外代理店 
fall,落下する 
family,家族 
famous,有名な 
far,遠くに 
farm,農場 
farmer,農場経営者 
fast,速い 
fat,脂肪 
father,父 
February,2月 
feel,～に触れる 
feeling,感覚 
few,少しはある 
field,野原 
fifteen,15
fifty,50
fight,両者・数人が戦う 
film,薄皮 
find,～を見つける 
fine,りっぱな 
finger,指 
finish,～終える 
fire,火 
first,第1の 
fish,釣る 
five,5
flat,平平らな 
floor,床 
flower,花 
fly,飛ぶ 
food,食物 
fool,ばか者 
foot,足 
football,フットボール 
for,～の間 
forest,森林 
forget,～を忘れる 
fork,フォーク 
forty,40
four,4
fourteen,14
fox,キツネ 
free,自由な 
fresh,新鮮な 
Friday,金曜日 
friend,友人 
friendly,好意的な 
frog,カエル 
from,～から 
front,前面 
fruit,果物 
full,いっぱいの 
fun,楽しみ 
funny,おかしい 
future,未来 
game,かたわの 
garden,庭 
gas,気体 
gentleman,紳士 
get,～を受け取る 
girl,女の子 
give,物を与える 
glad,うれしい 
glass,ガラス 
glove,手袋 
go,行く 
goal,ゴール 
God,神 
gold,金 
golden,金の 
golf,ゴルフ 
gone,goの過去分詞形 
good,よい 
goodbye,さようなら 
grandfather,祖母 
grandmother,祖母 
grass,草 
gray,灰色の 
great,大きい 
green,緑の 
ground,grindの過去・過去分詞 
group,群れ 
grow,成長する 
guest,招待客 
guide,人を案内する 
guitar,lagぎたー 
gun,銃 
hair,毛 
half,半分 
hand,手 
happen,でき事が起こる 
happiness,幸福 
happy,幸福な 
hard,堅い 
has,haveの三人称単数現在 
hat,帽子 
have,物を持っている 
he,彼は 
head,頭 
healthy,健康な 
hear,音が聞こえる 
heart,心臓 
heavy,重い 
hello,もしもし 
help,ヘルプ 
her,彼女の 
here,ここで 
hers,彼女のもの 
hi,やあ 
high,高い 
hill,丘 
him,彼を 
his,彼の 
history,歴史 
hit,人・物を打つ 
hobby,趣味 
hold,～を持つ 
hole,穴 
holiday,休日 
home,家 
homework,宿題 
honest,正直な 
honey,はちみつ 
hope,～を望む 
horse,馬 
hospital,大きな総合病院 
hot,熱い 
hotel,ホテル 
hour,1時間 
house,家 
how,どんなふうに 
hundred,100
hungry,飢えた 
hurry,急ぐ 
hurt,身体・身体の一部に苦痛を与える 
husband,夫 
I,私が 
ice,氷 
idea,考え 
if,もし～ならば 
ill,病気で 
important,重要な 
in,～の中に 
inside,内部 
interest,興味 
interested,興味を持った 
interesting,注意をひきつける 
into,～の中へ 
invite,人を招待する 
is,beの三人称・単数・現在 
island,島 
it,それは 
its,it is 
jam,～を押し込む 
January,1月 
job,職 
join,二つ以上のものをつなぐ 
joke,冗談 
joy,喜び 
juice,汁 
July,7月 
jump,跳ぶ 
June,6月 
junior,若いほうの 
just,正しい 
keep,物をずっと持っている 
key,かぎ 
kick,～をける 
kid,子ヤギ 
kill,人・動物を殺す 
kind,種類 
king,王 
kiss,～に口づけする 
kitchen,台所 
knee,ひざ 
knife,ナイフ 
know,～を知る 
lady,淑女 
lake,湖 
land,陸 
language,言語 
large,大きい 
last,続く 
late,遅れた 
later,もっと遅い 
laugh,人が笑う 
leaf,葉 
learn,知識・技術など 
leave,場所を去る 
left,leaveの過去・過去分詞 
leg,脚 
lesson,授業 
let,人・動物などにさせる 
letter,文字 
level,平らな 
library,図書館 
life,生命 
light,降りる 
like,～に似た 
line,線 
lion,ライオン 
lip,くちびる 
list,表 
listen,聞く 
little,小さい 
live,生きている 
long,長い 
look,目を向ける 
lose,物を失う 
love,愛 
low,モーという鳴き声 
lucky,運が良い 
lunch,昼食を取る 
machine,機械 
magazine,雑誌 
mail,郵便 
make,～を作る 
man,男 
many,多くの 
map,地図 
March,3月 
market,市場 
marry,～と結婚する 
master,主人 
matter,物質 
may,～かもしれない 
May,5月 
me,私を 
meal,食事 
mean,人が～を意図する 
meat,動物の肉 
meet,～に会う 
meeting,集会 
member,一員 
memory,記憶力 
men,manの複数形 
meter,計器 
middle,まん中の 
midnight,真夜中 
mile,マイル 
milk,動物が分泌する乳 
mind,心 
mine,私のもの 
minute,分 
mirror,鏡 
Miss,お嬢さん 
miss,未婚婦人 
mistake,誤り 
Monday,月曜日Mon. 
money,金 
monkey,さる 
month,月 
moon,月 
more,いっそう大きい 
morning,朝 
most,最も多い 
mother,母 
mountain,山 
mouse,ハツカネズミ 
mouth,口 
move,動く 
movie,映画 
Mr.,.氏 
Mrs.,.ミセス 
Ms.,.ミリ秒 
much,多くの 
museum,博物館 
music,音楽 
musician,音楽家 
must,～ねばならない 
my,私の 
nail,爪 
name,名 
narrow,狭い 
natural,自然のままの 
near,近くに 
necessary,必要な 
neck,首 
need,必要 
neighbor,隣人 
never,決してない 
new,新しい 
news,報道 
newspaper,新聞 
next,次の 
nice,良い 
night,夜 
nine,9
nineteen,19
ninety,90
no,一つも～ない 
nobody,誰も?ない 
noise,音 
none,どれも何も 
noon,正午 
north,北 
nose,鼻 
not,～でない 
note,覚え書き 
notebook,筆記帳 
nothing,何も～ない 
November,11月 
now,今 
number,数 
nurse,看護人 
o'clock,oclock 
October,10月 
of,の 
off,から 
office,事務所 
often,しばしば 
oh,おお 
oil,油 
OK,Oklahoma オーケー 
old,年とった 
on,～の上に 
once,1度 
one,1個の 
only,唯一の 
open,～を開く 
or,～または～ 
orange,オレンジ 
order,命令 
other,別の 
our,我々の 
ours,私たちのもの 
out,外へ 
outside,外側 
over,～の上に 
page,給仕 
paint,ペンキ 
pair,組 
pants,ズボン 
paper,紙 
parent,親 
park,公園 
